sample_index,timestamp_ms,ai0,ai1
0,0.0,-0.0003216261105597473,-0.00015726861176250384
1,5.0,-0.0003216261105597473,-0.0003216261105597473
2,10.0,-0.0003216261105597473,-0.00015726861176250384
3,15.0,-0.0003216261105597473,-0.0003216261105597473
4,20.0,-0.0003216261105597473,7.0888869791035924e-06
5,25.0,-0.00015726861176250384,-0.0003216261105597473
6,30.0,-0.0003216261105597473,-0.0003216261105597473
7,35.0,-0.0003216261105597473,7.0888869791035924e-06
8,40.0,-0.00015726861176250384,-0.00015726861176250384
9,45.0,-0.00015726861176250384,-0.0003216261105597473
10,50.0,-0.00015726861176250384,-0.0003216261105597473
11,55.0,-0.0003216261105597473,-0.00015726861176250384
12,60.0,-0.00015726861176250384,-0.00015726861176250384
13,65.0,-0.00015726861176250384,-0.00015726861176250384
14,70.0,-0.0003216261105597473,-0.00015726861176250384
15,75.0,-0.0003216261105597473,-0.00015726861176250384
16,80.0,-0.0003216261105597473,-0.0003216261105597473
17,85.0,-0.0003216261105597473,7.0888869791035924e-06
18,90.0,-0.00015726861176250384,-0.0003216261105597473
19,95.0,-0.0003216261105597473,7.0888869791035924e-06
20,100.0,-0.00015726861176250384,-0.0003216261105597473
21,105.0,7.0888869791035924e-06,-0.00015726861176250384
22,110.0,-0.00015726861176250384,-0.00015726861176250384
23,115.0,-0.00015726861176250384,-0.0003216261105597473
24,120.0,-0.00015726861176250384,-0.0003216261105597473
25,125.0,-0.0003216261105597473,-0.0003216261105597473
26,130.0,7.0888869791035924e-06,-0.0003216261105597473
27,135.0,-0.0003216261105597473,-0.00015726861176250384
28,140.0,-0.00015726861176250384,7.0888869791035924e-06
29,145.0,-0.00015726861176250384,7.0888869791035924e-06
30,150.0,-0.0003216261105597473,7.0888869791035924e-06
31,155.0,-0.00015726861176250384,-0.00015726861176250384
32,160.0,-0.00048598360941264074,-0.0003216261105597473
33,165.0,-0.0003216261105597473,-0.00015726861176250384
34,170.0,-0.00015726861176250384,-0.00015726861176250384
35,175.0,-0.0003216261105597473,-0.0003216261105597473
36,180.0,-0.0003216261105597473,7.0888869791035924e-06
37,185.0,7.0888869791035924e-06,-0.00048598360941264074
38,190.0,-0.00015726861176250384,-0.0003216261105597473
39,195.0,-0.0003216261105597473,-0.0003216261105597473
40,200.0,-0.00015726861176250384,-0.00015726861176250384
41,205.0,7.0888869791035924e-06,-0.00015726861176250384
42,210.0,-0.0003216261105597473,-0.00015726861176250384
43,215.0,-0.0003216261105597473,-0.00015726861176250384
44,220.0,-0.00015726861176250384,-0.0003216261105597473
45,225.0,-0.0003216261105597473,-0.0003216261105597473
